frame,joint,x,y
0,nose,1735,635
0,poll,1683,362
0,withers,1297,128
0,spine_1,1075,89
0,spine_2,923,85
0,spine_3,720,101
0,hip,563,259
0,tail_base,518,179
0,knee_front_left,1227,701
0,knee_front_right,1395,705
0,hock_rear_left,520,582
0,hock_rear_right,592,639
0,hoof_front_left,1241,890
0,hoof_front_right,1484,910
0,hoof_rear_left,496,842
0,hoof_rear_right,728,892
1,nose,1743,621
1,poll,1693,354
1,withers,1371,146
1,spine_1,1063,74
1,spine_2,935,76
1,spine_3,709,93
1,hip,563,241
1,tail_base,522,167
1,knee_front_left,1219,695
1,knee_front_right,1402,695
1,hock_rear_left,512,577
1,hock_rear_right,594,631
1,hoof_front_left,1235,883
1,hoof_front_right,1496,900
1,hoof_rear_left,489,832
1,hoof_rear_right,713,883
2,nose,1749,614
2,poll,1700,350
2,withers,1373,132
2,spine_1,1073,60
2,spine_2,944,60
2,spine_3,738,70
2,hip,557,210
2,tail_base,524,142
2,knee_front_left,1206,670
2,knee_front_right,1402,682
2,hock_rear_left,514,553
2,hock_rear_right,580,608
2,hoof_front_left,1223,865
2,hoof_front_right,1492,883
2,hoof_rear_left,481,814
2,hoof_rear_right,709,859
3,nose,1745,610
3,poll,1712,341
3,withers,1381,118
3,spine_1,1081,44
3,spine_2,956,44
3,spine_3,720,62
3,hip,561,200
3,tail_base,531,130
3,knee_front_left,1206,655
3,knee_front_right,1395,666
3,hock_rear_left,516,540
3,hock_rear_right,586,594
3,hoof_front_left,1207,849
3,hoof_front_right,1463,875
3,hoof_rear_left,477,795
3,hoof_rear_right,691,849
4,nose,1749,608
4,poll,1712,339
4,withers,1398,124
4,spine_1,1075,33
4,spine_2,933,35
4,spine_3,738,52
4,hip,566,187
4,tail_base,524,128
4,knee_front_left,1186,662
4,knee_front_right,1375,664
4,hock_rear_left,526,520
4,hock_rear_right,584,573
4,hoof_front_left,1188,838
4,hoof_front_right,1449,863
4,hoof_rear_left,483,775
4,hoof_rear_right,662,838
5,nose,1747,606
5,poll,1710,341
5,withers,1379,107
5,spine_1,1071,44
5,spine_2,927,37
5,spine_3,726,56
5,hip,559,198
5,tail_base,518,130
5,knee_front_left,1188,649
5,knee_front_right,1371,666
5,hock_rear_left,518,512
5,hock_rear_right,574,575
5,hoof_front_left,1186,840
5,hoof_front_right,1445,863
5,hoof_rear_left,487,787
